"puesto","empresa","nivel","area","fecha","detalle","dpto","fecha_scraping"
"SANDWICHERA(O)","Importante empresa","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 1 mes ","Empresa gastronómica,selecciona SANDWICHEROS,con experiencia 2 años en el puesto (comprobada) en CAFETERÌAS O RESTAURANTES (EXCLUYENTE) Edad 28 a 45 años S ...","montevideo",2018-12-11 20:23:07
"AUXILIAR CONTABLE","Importante empresa","Auxiliar","Finanzas - Contabilidad - Auditoria","Hace 1 mes ","IMPORTANTE EMPRESA IMPORTADORA SELECCIONA: para Trabajar En Montevideo, Uruguay en zona cercana a Colón Cargo: Auxiliar Contable Requisitos: Dinámico, o ...","montevideo",2018-12-11 20:23:07
"MOZO MIXTO","Importante empresa","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 1 mes ","Empresa gastronómica se encuentra en la búsqueda de personal para el puesto de MOZO MIXTO,para su local ubicado en Punta Carretas y Buceo. Es imprescindibl ...","montevideo",2018-12-11 20:23:07
"VENDEDOR VIAJERO","PALMITA S.A.","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","Visitar nuestros clientes en el interior del pais, ofrecer nuestra amplia gama de productos importados y que distribuimos de otras importadoras. Vender, co ...","montevideo",2018-12-11 20:23:07
"SYNGENTA: FINANCIAL ANALYST - SEEDS CUSTOMER MARKETING","ADVICE","Asistente","Administración - Secretariado","Hace 1 mes ","Syngenta is a world-leading agribusiness company committed to improve global food security. If you are interested in professional development, we have oppo ...","montevideo",2018-12-11 20:23:07
"SYNGENTA: FINANCIAL ANALYSTS - PARTNER REWARDS","ADVICE","Asistente","Administración - Secretariado","Hace 1 mes ","Syngenta is a world-leading agribusiness company committed to improve global food security. If you are interested in professional development, we have oppo ...","montevideo",2018-12-11 20:23:07
"SYNGENTA: FINANCIAL ANALYST - ROYALTIES","ADVICE","Asistente","Administración - Secretariado","Hace 1 mes ","Syngenta is a world-leading agribusiness company committed to improve global food security. If you are interested in professional development, we have oppo ...","montevideo",2018-12-11 20:23:07
"TÉCNICO EN SISTEMA DE PORTERO ELECTRICO.","LEMAG","Técnico / Especialista","Servicios - Oficios","Hace 1 mes ","TÉCNICO DE SISTEMA DE PORTERO ELÉCTRICO. TÉCNICO DE SISTEMA DE PORTERO ELÉCTRICO, PARA MANTENIMIENTO Y REPARACIÓN.","montevideo",2018-12-11 20:23:07
"ASESOR","Vida Saludable con L´Ara","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","Busco personas para trabajar en forma independiente. Capacitaciones permanentes- Buenos ingresos. Asesorar al cliente, y mantenerlos informados.","montevideo",2018-12-11 20:23:07
"CHOFER DE TAXI NOCHERO","Taxi","Peon","Servicios - Oficios","Hace 1 mes ","chofer  de taxi nochero con experiencia  chofer  de taxi nochero con experiencia  ","montevideo",2018-12-11 20:23:07
"VENDEDOR MOSTRADOR","","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","Venta de repuestos para autos a distribuidores y cliente final. Atención telefónica y al mostrador de clientes para venta directa y al por mayor de repuest ...","montevideo",2018-12-11 20:23:07
"CUIDADORA Y LIMPIADORA TURNANTE","Hogar en buceo","Auxiliar","Salud","Hace 1 mes ","Trabajo como turnante en residencial cubriendo 2 tardes, 2 mañanas y 1 noche Cuidado, higiene y confort de los pacientes a cargo, al igual que manter la li ...","montevideo",2018-12-11 20:23:07
"CUIDADORA PARA RESIDENCIAL DE ADULTOS MAYORES","Importante empresa","Auxiliar","Salud","Hace 1 mes ","Cuidado del Adulto Mayor Confort Higiene Mantener en excelentes condiciones a los residentes, colaborar con la higiene de la habitación y residencia. Apoyo ...","montevideo",2018-12-11 20:23:07
"RECEPCIONISTA","Importante Clínica Médica","Auxiliar","Administración - Secretariado","Hace 1 mes ","Tareas de recepción  Coordinación de citas Atención al público con amabilidad y discreción","montevideo",2018-12-11 20:23:07
"ATENCIÓN DE ADULTO MAYOR","MARTA","Auxiliar","Salud","Hace 1 mes ","ATENCIÓN DE ADULTO MAYOR EN DOMICILIO SÓLO LOS DÍAS DOMINGOS 6 HORAS Acondicionarlo, bañarlo, darle de comer y acompañarlo Atender las necesidades de la pe ...","montevideo",2018-12-11 20:23:07
"ELECTRICISTA MANTENIMINETO","","Técnico / Especialista","Construcción - Arquitectura","Hace 1 mes ","Mantenimineto industrial y comercial ,  responsabilidad en los materiales a utilizar. Mantenimineto industrial y comercial , buen trato con clientes , resp ...","montevideo",2018-12-11 20:23:07
"REPARTIDOR MONTEVIDEO EN CAMIONETA DE LA EMPRESA","Importante empresa","Auxiliar","Cadetería - Cobranzas","Hace 1 mes ","Entrega de mercaderia en comercios y particulares Cobro de facturas Retiro de mercaderia de empresas proveedoras Tareas de deposito, carga y descarga de me ...","montevideo",2018-12-11 20:23:07
"AUXILIAR DE LIMPIEZA","Piscinas","Auxiliar","Servicios - Oficios","Hace 1 mes ","Empresa selecciona personal masculino, entre 20 y 40 años de edad. Responsable de la limpieza y cuidados de las piscinas.","montevideo",2018-12-11 20:23:07
"EJECUTIVO DE CUENTAS","Importante empresa","Supervisor / Encargado","Ventas - Comercial","Hace 1 mes ","Incrementar ventas. Conducción y formación comercial. Capacidad de aprender y enseñar. Disciplina de trabajo.","montevideo",2018-12-11 20:23:07
"CHOFER DE TAXI","SIN NOMBRE","Peon","Servicios - Oficios","Hace 1 mes ","CHOFER DE TAXI DE MONTEVIDEO. LIBRETA CAT E DE MONTEVIDEO VIGENTE.  TRABAJO DISPONIBLE EN EL TURNO DIURNO DE 3 A 15 HS Y DISPONIBLE EN EL TURNO NOCTURNO DE ...","montevideo",2018-12-11 20:23:07
"PANADEROS, AYUDANTES","Importante empresa","Técnico / Especialista","Servicios - Oficios","Hace 1 mes ","Empresa gastronómica se encuentra en la búsqueda de MAESTRO Y AYUDANTE ADELANTADO para el àrea de Panadería. Sexo:Masculino Edad:21 a 45 años Deberá contar ...","montevideo",2018-12-11 20:23:07
"CONFITEROS, AYUDANTES","Importante empresa","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 1 mes ","Entre las funciones a realizar deberà controlar las operaciones de elaboración de productos de confitería, tortas y otras elaboraciones. Realizar el acabad ...","montevideo",2018-12-11 20:23:07
"OFICIAL SANITARIO","","Técnico / Especialista","Construcción - Arquitectura","Hace 1 mes ","Desarrollará tareas de instalaciones sanitarias y mantenimiento de redes de abastecimiento y desagüe. Instalación de abastecimiento y desagüe de baños y co ...","montevideo",2018-12-11 20:23:07
"CHOFER PARA TAXI","TAXI 1600","Peon","Servicios - Oficios","Hace 1 mes ","Chofer de taxi Chofer de taxi","montevideo",2018-12-11 20:23:07
"TÉCNICO EN PORTERO ELÉCTRICO","ilaut","Técnico / Especialista","Producción","Hace 1 mes ","BUSCAMOS IDÓNEO AYUDANTE TÉCNICO EN PORTEROS ELÉCTRICOS PARA INSTALACIONES PUNTUALES CON EXPERIENCIA PROBADA EN EL MEDIO , EXCELENTE REMUNERACIÓN Y MUY BUE ...","montevideo",2018-12-11 20:23:07
"ASISTENTE DE IMPRESIÓN DIGITAL Y ATENCIÓN AL CLIENTE","  ","Asistente","Administración - Secretariado","Hace 1 mes ","- Recepcionar pedidos de clientes; - Brindar asesoramiento a clientes; - Realizar trabajos de diseño e impresión. La persona será responsable de otorgar un ...","montevideo",2018-12-11 20:23:07
"CHOFER","Importante empresa","Peon","Servicios - Oficios","Hace 1 mes ","Traslado de personal Traslado depersonal","montevideo",2018-12-11 20:23:07
"DELIVERY CON MOTO","Delivery Expedito","Auxiliar","Cadetería - Cobranzas","Hace 1 mes ","Se necesita urgente DELIVERY C/MOTO para importante heladería en sucursal pocitos. Imprescindible tener conocimientos zonas pocitos punta carretas Malvin y ...","montevideo",2018-12-11 20:23:07
"CHOFER DE TAXI DE MONTEVIDEO","Importante empresa","Peon","Servicios - Oficios","Hace 1 mes ","CHOFER DE TAXI DE MONTEVIDEO. LIBRETA CAT E. HORARIO DIURNO DE 3 A 15 HS Y NOCTURNO DE 15 A 3 HS. CON RELEVO PUERTA A PUERTA. CHOFER DE TAXI DE MONTEVIDEO. ...","montevideo",2018-12-11 20:23:07
"CERRAJERO  ASOCIADO PARA EMERGENCIAS","Importante empresa","Técnico / Especialista","Servicios - Oficios","Hace 1 mes ","Se incorpora en relación de contrato de servicios a cerrajero independiente con sólidos conocimientos de cerrajería automotriz para atender urgencias. Debe ...","montevideo",2018-12-11 20:23:07
"VENDEDOR REPONEDOR","Frutas y Frutos","Auxiliar","Servicios - Oficios","Hace 1 mes ","Necesito persona mayor de 18 para atencion al publico reponer mercaderia y hacer envios Tiene que ser responsable con los horarios, amable von el publico y ...","montevideo",2018-12-11 20:23:07
"MANICURISTA","peluqueria","Técnico / Especialista","Servicios - Oficios","Hace 1 mes ","Manicura, estetica de pie, depilacion, brushing. zona Punta Carretas. Todas las relacionadas con el trabajo","montevideo",2018-12-11 20:23:07
"ASISTENTE DE RECURSOS HUMANOS","Confidencial","Asistente","Administración - Secretariado","Hace 1 mes ","La búsqueda está dirigida a estudiantes avanzados o egresados de las carreras Recursos Humanos, Relaciones Laborales, Administración de Empresas, etc., con ...","montevideo",2018-12-11 20:23:07
"OFICIAL","TEREFEL SA","Oficial","Producción","Hace 1 mes ","faena y desosado puntualidad, asiduidad y responsabilidad en el desempeño de las tareas","montevideo",2018-12-11 20:23:07
"CHOFER AEROPUERTO","Importante empresa","Peon","Servicios - Oficios","Hace 1 mes ","Chofer con muy buena presencia, buen trato con el publico, libreta de Canelones categoria E y experiencia de manejo. ..","montevideo",2018-12-11 20:23:07
"CHOFER REPARTIDOR","Empresa importadora","Peon","Servicios - Oficios","Hace 1 mes ","Chofer repartidor. Preparación de pedidos, carga, descarga, cobranzas. Mantenimiento de buen estado de vehículos utilizados. Mantenimiento de orden en depo ...","montevideo",2018-12-11 20:23:07
"ENCARGADO/A DE TIENDA-MONTEVIDEO","Importante empresa","Supervisor / Encargado","Ventas - Comercial","Hace 1 mes ","Seleccionamos encargado de local comercial.  Se valorará experiencia en gestión y conducción de equipos de trabajo.  Será responsable de la planificación,  ...","montevideo",2018-12-11 20:23:07
"PIZZERO CON EXPERIENCIA","","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 1 mes ","Pizzero con conocimiento en Pizza a la piedra, elaboración de maza, uso de pala, horno a gas y leña, realización de Misse an Place, repulgue de empanadas y ...","montevideo",2018-12-11 20:23:07
"CHOFER PARA UBER","Importante empresa","Peon","Servicios - Oficios","Hace 1 mes ","Busco chofer para manejar auto de Uber, con experiencia en manejo y buena prescencia. SE REQUIERE LIBRETA PROFESIONAL CATEGORIA E. HORARIO NOCTURNO. con ex ...","montevideo",2018-12-11 20:23:07
"ANALISTA EN MARKETING DIGITAL","Importante empresa","Analista","Arte - Diseño - Comunicación","Hace 1 mes ","Nos orientamos a personas de entre 20 y 28 añox aprox egresados de algunas de las siguientes carreras. Analista en Marketing Digital, Planificador de Medio ...","montevideo",2018-12-11 20:23:07
"CAJERA","Importante empresa","Auxiliar","Ventas - Comercial","Hace 1 mes ","Cajera proactiva, se valorará  conocimientos gastronómicos. Buen relacionamiento laboral.","montevideo",2018-12-11 20:23:07
"LÍDER DE TESTING","Importante empresa","Supervisor / Encargado","Tecnologías de la información","Hace 1 mes ","Será responsable de liderar el área de testing de la empresa, conformada por más de 30 personas que trabajan para diferentes proyectos a nivel nacional e i ...","montevideo",2018-12-11 20:23:07
"MOZO/A CON EXPERIENCIA","La Cocina de Pedro","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 1 mes ","Proactivo, buen relacionamiento laboral. Buena prescencia.","montevideo",2018-12-11 20:23:07
"VENDEDOR","EMPRESA","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","- VENTAS DE ALIMENTOS PARA MASCOTAS DENTRO Y FUERA DE MONTEVIDEO -APERTURA DE NUEVOS PUNTOS DE VENTA -REPORTES SEMANALES / MENSUALES SOBRE VENTAS GENERADAS ...","montevideo",2018-12-11 20:23:07
"VENTAS - REPOSICIÓN -","Los Dominguez","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","Ventas, Reposición Ventas, reposición de mercadería, control de stock, control de vencimientos","montevideo",2018-12-11 20:23:07
"CONTADOR PARA EL DEPARTAMENTO DE SALTO","ADVICE","Profesional","Finanzas - Contabilidad - Auditoria","Hace 1 mes ","Elaborará e interpretará los estados financieros y anexos mensuales requeridos por el Grupo, identificando las situaciones que puedan afectar la razonabili ...","montevideo",2018-12-11 20:23:07
"VENTAS Y ATENCION AL CLIENTE","EmprendeUY","Auxiliar","Atención al cliente","Hace 1 mes ","INGRESO EXTRAS PART-TIME o FULL-TIME, eso lo decides tu(NO ES EMPLEO) HOMBRES Y MUJERES MAYORES DE 21 AÑOS, MONTEVIDEO e INTERIOR. No es necesario experien ...","montevideo",2018-12-11 20:23:07
"ENCUESTADORAS/ES","Importante empresa","Auxiliar","Marketing - Publicidad","Hace 1 mes ","Para relevamiento en punto de venta Tomar datos en punto de venta","montevideo",2018-12-11 20:23:07
"AYUDANTE DE ARQUITECTO O ARQUITECTO JUNIOR","ESTUDIO COLLETLACOSTE","Asistente","Construcción - Arquitectura","Hace 1 mes ","SOBRESTANTE DE OBRA, ELABORACIÓN DE PRESUPUESTOS,PEDIDO DE PRECIOS, COMPRA DE MATERIALES, DIBUJO CAD SERÁ RESPONSABLE DE ELABORAR PRESUPUESTOS, METRAR PROY ...","montevideo",2018-12-11 20:23:07
"SYNGENTA: STATUTORY & TAX OPERATIONS ANALYST","ADVICE","Analista","Finanzas - Contabilidad - Auditoria","Hace 1 mes ","Requirements: Public Accountant (CPA). Al least 3 years of relevant experience in multinationals or big four companies in Tax, Accounting, Finance or Audit ...","montevideo",2018-12-11 20:23:07
"ADMINISTRATIVO CALIFICADO","Empresa logística","Auxiliar","Administración - Secretariado","Hace 1 mes ","Nos orientamos a la búsqueda de una administrativa calificada, proactiva y con motivación a afrontar tareas varias, con experiencia comprobada en liquidaci ...","montevideo",2018-12-11 20:23:07
"SYNGENTA: ACOUNTING TO REPORTING ANALYSTS","ADVICE","Analista","Finanzas - Contabilidad - Auditoria","Hace 1 mes ","Requirements: Public Accountants (CPA) or Degree in Business Administration advanced students. At least 2 years of experience in similar positions at Accou ...","montevideo",2018-12-11 20:23:07
"OPERARIO DE MANTENIMIENTO","Importante Empresa","Supervisor / Encargado","Producción","Hace 1 mes ","Mantenimiento y Reparaciones  Generales   para local en zona de Mercado Modelo y Quinta en Zona de Punta Espinillo  Requisitos fundamentales y Excluyentes  ...","montevideo",2018-12-11 20:23:07
"INSTRUCTOR DE MOTO","Importante empresa","Técnico / Especialista","Educación - Recreación - Deportes","Hace 1 mes ","1 - Tener UNIPERSONAL ABIERTA para trabajar en Academia de Choferes en Montevideo, ya que el trabajo es tercerizado (si no tiene se solicitará como condici ...","montevideo",2018-12-11 20:23:07
"TECNICO","INSTALAR  S.R.L.","Técnico / Especialista","Servicios - Oficios","Hace 1 mes ","TECNICO  INSTALADOR  SATELITAL Con experiencia  En instalaciones  Para trabajos en Cable de UHF. y satelital  Si tiene conocimientos de instalaciones   ...","montevideo",2018-12-11 20:23:07
"CHEFF - COCINERO - ENCARGADO DE COCINA - ROTISERIA","IMPORTANTE ROTISERIA GOURMET/CAFETERIA/DULCERIA","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 1 mes ","Persona responsable, proactiva, detallista, puntual, ágil y dinámica, con vocación por la cocina y dedicación hacia su trabajo. Capacidad para el diseño y  ...","montevideo",2018-12-11 20:23:07
"MOZO DE BARRA","","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 1 mes ","SE NECESITA MOZO DE BARRA CON GRAN EXPERIENCIA. PARA RESTAURANTE EN EL CENTRO . PRESENTARSE CON CURRICULUM EN SAN JOSE 1229 ENTRE YI Y CUAREIM TRAER CURRIC ...","montevideo",2018-12-11 20:23:07
"MUCAMA DE HOTEL","","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 1 mes ","Hotel de cadena Internacional de 3 estrellas, solicita mucama /o para el turno tarde de 13hs a 21hs. Misión •	Ordenar y limpiar las habitaciones, pasillos, ...","montevideo",2018-12-11 20:23:07
"ENCARGADO DE LOCAL","Importante empresa","Supervisor / Encargado","Ventas - Comercial","Hace 1 mes ","Empresa en crecimiento del rubro Bazar busca Encargado de Local. Tareas: *Deberá coordinar un equipo de alrededor de 15 personas *Realizar pedidos de merc ...","montevideo",2018-12-11 20:23:07
"COMMUNITY MANAGER/COMERCIAL PUESTO EXCLUSIVAMENTE FEMENINO","Franquicia internacional Deportes","Analista","Arte - Diseño - Comunicación","Hace 1 mes ","Community Manager, VENDEDORA. Profesional de marketing digital y VENTAS responsable de la gestión y desarrollo de clientes en nuestra empresa.","montevideo",2018-12-11 20:23:07
